ahl,iptg,previous_state,time,data,ALL_meanGreen,ALL_meanRed,ALL_sdGreen,ALL_sdRed,ALL_cov,ALL_medianRed,ALL_medianGreen,ALL_modeRed,ALL_modeGreen,ALL_nEvent,gateRED_meanGreen,gateRED_meanRed,gateRED_sdGreen,gateRED_sdRed,gateRED_cov,gateRED_medianRed,gateRED_medianGreen,gateRED_modeRed,gateRED_modeGreen,gateRED_nEvent,gateRED_percentageEvent,gateGREEN_meanGreen,gateGREEN_meanRed,gateGREEN_sdGreen,gateGREEN_sdRed,gateGREEN_cov,gateGREEN_medianRed,gateGREEN_medianGreen,gateGREEN_modeRed,gateGREEN_modeGreen,gateGREEN_nEvent,gateGREEN_percentageEvent
10,10,green,10,A,259.0803536,489.2955002,24.81014856,81.67418169,612.2107293,481,260,506,274,4978,259.0253215,489.2628617,24.63339568,81.49674739,601.5089205,481,260,506,274,4976,99.95982322,396,570.5,84.85281374,379.7163415,32220,570.5,396,839,456,2,0.040176778
0.1,10,green,10,A,263.7450716,508.0961383,27.4712135,83.06314564,963.3529861,498,262,491,268,3703,263.6327027,508.0516216,27.13986006,82.77217572,945.3055295,498,262,491,268,3700,99.91898461,402.3333333,563,75.93637688,308.330991,23401,389,360,389,357,3,0.081015393
0.033333333,10,green,10,A,268.307354,508.6094917,32.58902167,76.73012561,1296.208723,500,267,477,273,9777,267.7276644,507.9229665,30.72416888,75.52195285,1161.304316,500,267,477,273,9749,99.71361358,470.1428571,747.6428571,36.8949603,114.4284393,-126.2804233,774.5,466.5,839,457,28,0.286386417
0.011111111,10,green,10,A,270.1593373,492.5423399,32.20906277,65.1786547,1056.741847,487,268,462,273,9778,269.4682817,491.7681174,30.08387771,63.77560431,909.1758391,487,268,462,273,9742,99.63182655,458.2285714,702.1142857,42.64910572,98.41053609,1755.708403,723,457,653,438,35,0.35794641
0.003703704,10,green,10,A,270.1276791,432.8513982,31.17426787,54.62749749,658.1208432,432,268,435,267,9798,269.3790629,432.3331283,28.46955472,53.66398307,568.3726851,431,268,435,267,9753,99.5407226,432.3777778,545.1777778,98.49141377,114.9526165,1839.363131,566,404,610,386,45,0.459277404
0.001234568,10,green,10,A,373.9745359,361.8964188,95.61609786,45.15550922,-401.154728,360,354,345,278,9857,291.0038369,375.8515588,26.39875384,44.51731241,175.5973555,373,290,357,278,4170,42.30496094,434.9158599,351.6451329,81.13291106,42.82907518,649.9389742,350,418,345,345,5681,57.63416861
0.000411523,10,green,10,A,496.0376063,338.9572702,71.38387087,37.70257871,512.097016,340,487,345,464,9759,267.0645161,352.0107527,30.74679427,56.64602036,424.1949509,342,263,314,255,93,0.952966492,498.2406373,338.831678,68.01727382,37.4561501,542.0236438,340,488,345,464,9666,99.04703351
0.000137174,10,green,10,A,506.0042679,338.6312367,67.62723616,36.44493111,458.1784033,340,498,345,486,9841,271.6666667,347.2745098,30.20242816,45.57634405,245.0333333,350,271,353,274,51,0.518240016,507.2250255,338.5862104,65.61266717,36.38889774,469.9212972,340,498,345,486,9790,99.48175998
4.57E-05,10,green,10,A,509.181354,339.0316553,68.92508744,36.56695191,482.8804923,341,501,345,470,9793,264.3015873,334.6825397,29.88128928,41.29235866,236.0327701,334,267,357,288,63,0.643316655,510.7669065,339.059815,66.2187026,36.53507234,477.5620989,341,501,345,470,9730,99.35668335
1.52E-05,10,green,10,A,507.1367382,339.1265642,68.97301932,37.00367183,523.1967743,341,498,345,475,9829,263.9545455,344.3939394,29.08524967,61.43912028,66.23356643,336,262,348,255,66,0.671482348,508.7807027,339.0909556,66.19124902,36.78595155,535.0118558,341,499,345,475,9763,99.32851765
5.08E-06,10,green,10,A,511.635336,338.7163951,68.70069157,36.53149704,583.1881465,340,503,345,486,9820,265.1724138,332.0344828,26.03650469,36.90764458,60.50272232,334.5,269,334,274,58,0.590631365,513.0996722,338.7560951,66.18750163,36.52750761,576.4564409,340,503,345,486,9762,99.40936864
0,10,green,10,A,510.2634682,337.918886,67.81953843,37.19780719,499.1422433,340,502,345,488,9838,267.1607143,338.1785714,27.35276405,40.05092537,33.51623377,333,270.5,355,262,56,0.569221386,511.655183,337.9173993,65.43175984,37.1830418,502.1750729,340,502,345,488,9782,99.43077861
10,1,green,10,A,262.2556634,482.4954693,34.83859502,81.33207213,149.5225739,475,260,477,260,9270,259.5504206,484.3283077,24.27690495,80.05651443,542.4000203,477,260,477,260,9153,98.73786408,473.8888889,339.1111111,68.78825303,43.72913843,151.8572797,339,456,353,436,117,1.262135922
0.1,1,green,10,A,262.8220615,506.4925859,27.85154192,80.08414108,800.9953047,498,262,475,268,8295,262.5508209,506.6863834,26.61371721,79.94674464,839.3911666,498,262,475,268,8284,99.86738999,467.0909091,360.5454545,103.6180048,42.49085463,1915.045455,350,450,350,420,11,0.132610006
0.033333333,1,green,10,A,267.7659049,510.9946469,32.69215607,76.26591661,1211.814869,502,267,477,255,9714,266.9966939,510.3414609,29.86660066,74.54566975,1086.64713,502,267,477,255,9679,99.63969529,480.4857143,691.6285714,68.31043819,214.766643,-2821.490756,795,473,353,486,35,0.360304715
0.011111111,1,green,10,A,268.6576668,484.6509424,30.46931954,62.38601191,833.0473983,481,267,475,274,9815,268.0983037,484.2071326,28.61147315,61.2991018,753.4447357,481,267,475,274,9786,99.70453388,457.4137931,634.4137931,48.05318277,166.4701855,-683.9273399,710,447,366,551,29,0.295466123
0.003703704,1,green,10,A,270.0222109,431.492919,30.86251645,54.25870677,623.7055781,430,268,435,255,9815,269.1384395,430.9222814,27.8752815,53.05289944,527.332317,430,268,435,255,9766,99.50076414,447.1041667,543.5833333,69.97058336,127.5377013,-239.4450355,554,431,382,397,48,0.489047376
0.001234568,1,green,10,A,389.9083418,357.039471,97.98909269,44.44758051,-383.0466412,356,379,357,262,9830,289.8234218,373.5346142,26.99933767,43.96718582,107.7695368,372,290,357,262,3279,33.35707019,440.1317438,348.7657038,80.70838581,42.35185813,613.7092576,349,424,357,345,6543,66.56154629
0.000411523,1,green,10,A,495.9603175,338.7867318,70.48392563,37.68590497,487.5284243,341,489,345,475,9828,274.1681416,356.7699115,30.76172908,54.93779093,165.5747472,350,273,366,273,113,1.14977615,498.5400926,338.5775605,66.60312017,37.39176585,538.2276652,341,490,345,475,9715,98.85022385
0.000137174,1,green,10,A,507.7086735,337.9989796,67.36084276,36.39033883,437.9114284,340,499,345,492,9800,272.9512195,332.6829268,26.67109973,32.24471974,127.9841463,336,273,337,294,41,0.418367347,508.6949483,338.0213137,65.73507674,36.40658725,433.9611038,340,500,345,492,9759,99.58163265
4.57E-05,1,green,10,A,500.9551766,337.7392281,68.29678218,37.0193841,531.41729,339,493,345,472,9794,262.1617647,336.7058824,24.04449252,35.677686,48.98858648,334.5,262,343,262,68,0.694302634,502.6247173,337.7464528,65.51014146,37.03026033,533.0581545,339,494,345,472,9726,99.30569737
