ahl	iptg	previous_state	time	data	ALL_meanGreen	ALL_meanRed	ALL_sdGreen	ALL_sdRed	ALL_cov	ALL_medianRed	ALL_medianGreen	ALL_modeRed	ALL_modeGreen	ALL_nEvent	gateRED_meanGreen	gateRED_meanRed	gateRED_sdGreen	gateRED_sdRed	gateRED_cov	gateRED_medianRed	gateRED_medianGreen	gateRED_modeRed	gateRED_modeGreen	gateRED_nEvent	gateRED_percentageEvent	gateGREEN_meanGreen	gateGREEN_meanRed	gateGREEN_sdGreen	gateGREEN_sdRed	gateGREEN_cov	gateGREEN_medianRed	gateGREEN_medianGreen	gateGREEN_modeRed	gateGREEN_modeGreen	gateGREEN_nEvent	gateGREEN_percentageEvent
10	10	green	10	A	259.080353555645	489.295500200884	24.8101485623384	81.6741816906244	612.210729338888	481	260	506	274	4978	259.025321543408	489.262861736334	24.6333956816993	81.496747386276	601.508920486678	481	260	506	274	4976	99.9598232221776	396	570.5	84.8528137423857	379.716341497176	32220	570.5	396	839	456	2	0.0401767778224186
0.1	10	green	10	A	263.745071563597	508.096138266271	27.4712134956349	83.063145635262	963.352986094911	498	262	491	268	3703	263.632702702703	508.051621621622	27.1398600594742	82.7721757227439	945.305529544143	498	262	491	268	3700	99.9189846070753	402.333333333333	563	75.9363768778399	308.330990982094	23401	389	360	389	357	3	0.0810153929246557
0.033333333	10	green	10	A	268.307353994068	508.60949166411	32.5890216666318	76.7301256135742	1296.20872315358	500	267	477	273	9777	267.727664375833	507.922966458098	30.7241688845053	75.5219528475059	1161.30431636708	500	267	477	273	9749	99.7136135828986	470.142857142857	747.642857142857	36.8949602959279	114.4284393185	-126.280423280423	774.5	466.5	839	457	28	0.28638641710136
0.011111111	10	green	10	A	270.159337287789	492.542339946819	32.2090627665958	65.1786547028243	1056.74184661582	487	268	462	273	9778	269.468281667009	491.768117429686	30.0838777102268	63.7756043114802	909.175839060237	487	268	462	273	9742	99.6318265493966	458.228571428571	702.114285714286	42.649105717323	98.4105360896148	1755.70840336134	723	457	653	438	35	0.357946410308857
0.003703704	10	green	10	A	270.127679118187	432.85139824454	31.1742678724488	54.6274974923305	658.120843196497	432	268	435	267	9798	269.379062852456	432.333128268225	28.4695547208655	53.66398307044	568.372685068947	431	268	435	267	9753	99.5407225964482	432.377777777778	545.177777777778	98.4914137671837	114.952616500905	1839.36313131313	566	404	610	386	45	0.459277403551745
0.001234568	10	green	10	A	373.974535862839	361.896418788678	95.6160978627837	45.1555092158076	-401.154727971189	360	354	345	278	9857	291.003836930456	375.851558752998	26.3987538439158	44.5173124138216	175.597355495311	373	290	357	278	4170	42.3049609414629	434.915859883823	351.645132899137	81.1329110609413	42.829075182318	649.938974212287	350	418	345	345	5681	57.6341686111393
0.000411523	10	green	10	A	496.037606312122	338.957270212112	71.3838708653832	37.7025787136095	512.097015969682	340	487	345	464	9759	267.064516129032	352.010752688172	30.7467942661306	56.6460203567152	424.194950911641	342	263	314	255	93	0.952966492468491	498.24063728533	338.831678046762	68.0172738153025	37.4561501033837	542.023643752016	340	488	345	464	9666	99.0470335075315
0.000137174	10	green	10	A	506.004267858957	338.631236662941	67.6272361642439	36.4449311132087	458.178403258146	340	498	345	486	9841	271.666666666667	347.274509803922	30.2024281584555	45.5763440531917	245.033333333333	350	271	353	274	51	0.51824001625851	507.225025536262	338.586210418795	65.612667169057	36.388897736487	469.921297215997	340	498	345	486	9790	99.4817599837415
4.57247e-05	10	green	10	A	509.181354028388	339.031655263964	68.9250874446527	36.5669519060331	482.880492264216	341	501	345	470	9793	264.301587301587	334.68253968254	29.8812892802961	41.2923586607566	236.032770097286	334	267	357	288	63	0.643316654753395	510.76690647482	339.059815005139	66.2187025962544	36.5350723375068	477.562098924006	341	501	345	470	9730	99.3566833452466
1.52416e-05	10	green	10	A	507.136738223624	339.126564248652	68.9730193159023	37.0036718333306	523.196774282643	341	498	345	475	9829	263.954545454545	344.393939393939	29.0852496680319	61.4391202831348	66.2335664335664	336	262	348	255	66	0.671482348153424	508.780702652873	339.090955648878	66.1912490203469	36.7859515501069	535.011855771794	341	499	345	475	9763	99.3285176518466
5.08053e-06	10	green	10	A	511.63533604888	338.716395112016	68.7006915740365	36.5314970407035	583.188146542024	340	503	345	486	9820	265.172413793103	332.034482758621	26.0365046910588	36.9076445831367	60.502722323049	334.5	269	334	274	58	0.590631364562118	513.09967219832	338.756095062487	66.1875016320521	36.5275076050542	576.456440887634	340	503	345	486	9762	99.4093686354379
0	10	green	10	A	510.26346818459	337.918885952429	67.8195384285902	37.1978071923014	499.142243327366	340	502	345	488	9838	267.160714285714	338.178571428571	27.3527640522617	40.0509253747853	33.5162337662338	333	270.5	355	262	56	0.569221386460663	511.655182989164	337.917399304846	65.4317598419527	37.1830417951682	502.175072881632	340	502	345	488	9782	99.4307786135393
10	1	green	10	A	262.255663430421	482.495469255663	34.8385950182403	81.3320721264522	149.522573941534	475	260	477	260	9270	259.550420627117	484.328307658691	24.2769049544962	80.0565144265544	542.400020325122	477	260	477	260	9153	98.7378640776699	473.888888888889	339.111111111111	68.7882530290548	43.729138430716	151.857279693487	339	456	353	436	117	1.2621359223301
0.1	1	green	10	A	262.822061482821	506.492585895118	27.851541916329	80.0841410770044	800.995304651699	498	262	475	268	8295	262.550820859488	506.686383389667	26.6137172110676	79.9467446368699	839.391166557159	498	262	475	268	8284	99.8673899939723	467.090909090909	360.545454545455	103.618004753474	42.4908546309995	1915.04545454545	350	450	350	420	11	0.132610006027728
0.033333333	1	green	10	A	267.765904879555	510.994646901379	32.6921560720545	76.2659166089474	1211.81486945884	502	267	477	255	9714	266.996693873334	510.341460894721	29.8666006586674	74.5456697512832	1086.64713026954	502	267	477	255	9679	99.6396952851555	480.485714285714	691.628571428571	68.3104381949534	214.766642950831	-2821.49075630252	795	473	353	486	35	0.360304714844554
0.011111111	1	green	10	A	268.657666836475	484.650942435048	30.4693195447574	62.3860119117103	833.047398265922	481	267	475	274	9815	268.098303699162	484.207132638463	28.6114731478739	61.2991018014953	753.444735656801	481	267	475	274	9786	99.7045338767193	457.413793103448	634.413793103448	48.0531827705953	166.470185499081	-683.927339901478	710	447	366	551	29	0.295466123280693
0.003703704	1	green	10	A	270.022210901681	431.492919001528	30.862516445346	54.2587067744768	623.705578118776	430	268	435	255	9815	269.138439483924	430.922281384395	27.8752815049059	53.0528994441752	527.332317006482	430	268	435	255	9766	99.5007641365257	447.104166666667	543.583333333333	69.9705833580155	127.537701281727	-239.445035460993	554	431	382	397	48	0.489047376464595
0.001234568	1	green	10	A	389.908341810783	357.039471007121	97.9890926925018	44.4475805111169	-383.046641227244	356	379	357	262	9830	289.823421774931	373.53461421165	26.9993376707212	43.9671858243473	107.769536799434	372	290	357	262	3279	33.3570701932859	440.131743848388	348.765703805594	80.7083858078765	42.3518581349873	613.709257615344	349	424	357	345	6543	66.5615462868769
0.000411523	1	green	10	A	495.960317460317	338.786731786732	70.4839256258486	37.6859049723301	487.528424279722	341	489	345	475	9828	274.16814159292	356.769911504425	30.7617290798123	54.9377909304108	165.574747155499	350	273	366	273	113	1.14977614977615	498.540092640247	338.577560473495	66.6031201672229	37.3917658530807	538.227665245581	341	490	345	475	9715	98.8502238502239
0.000137174	1	green	10	A	507.708673469388	337.998979591837	67.360842759989	36.3903388257465	437.911428383988	340	499	345	492	9800	272.951219512195	332.682926829268	26.6710997331495	32.2447197416804	127.984146341463	336	273	337	294	41	0.418367346938775	508.694948252895	338.021313659186	65.7350767375082	36.4065872456041	433.96110378801	340	500	345	492	9759	99.5816326530612
4.57247e-05	1	green	10	A	500.955176638758	337.739228098836	68.2967821841432	37.0193841007638	531.417290016889	339	493	345	472	9794	262.161764705882	336.705882352941	24.0444925236514	35.677685999996	48.9885864793679	334.5	262	343	262	68	0.694302634265877	502.624717252725	337.746452806909	65.5101414609892	37.0302603314935	533.05815452393	339	494	345	472	9726	99.3056973657341
1.52416e-05	1	green	10	A	512.231136386717	338.303036457804	68.2111732888728	36.6433388470764	507.146891023973	340	503	345	498	9847	267.375	339.3	28.1613369255775	35.2756180777776	63.0128205128205	341.5	275.5	340	290	40	0.406215090890627	513.229835831549	338.298970123381	66.5058580932655	36.6504891376359	509.964829832949	340	503	345	498	9807	99.5937849091094
5.08053e-06	1	green	10	A	509.830100538235	337.979689245455	67.7009281860278	36.6205930932006	506.03798701073	340	502	345	503	9847	271.181818181818	328.613636363636	27.0092772410232	57.775111688818	608.141649048626	324.5	268	321	255	44	0.446836599979689	510.901254717943	338.021728042436	65.9089310167798	36.4972465748038	495.563153718127	340	502	345	503	9803	99.5531634000203
0	1	green	10	A	508.446239837398	338.424796747967	67.9831887358453	36.7418984996091	557.131590352645	340	500	345	483	9840	264.931818181818	336.113636363636	30.7233701876455	29.6037520477819	157.914904862579	338.5	264.5	334	290	44	0.447154471544715	509.540016333197	338.43517762352	66.1117028603035	36.7717263794905	556.401522243142	340	500	345	483	9796	99.5528455284553
10	0.5	green	10	A	263.429017485429	485.767069109076	36.6097148015957	81.332580968756	121.572097546829	478	262	435	255	9608	260.272410516313	487.815436595924	24.3223103653136	79.9104576652074	567.125678308608	480	262	435	255	9471	98.5741049125729	481.649635036496	344.160583941606	69.4214104158834	46.2472946071447	676.475794332331	340	467	303	421	137	1.42589508742714
0.1	0.5	green	10	A	265.104728690122	512.777413068007	29.0589478993435	80.4932125189994	928.505976739594	504	263	483	273	9749	264.760378133991	512.937731196054	27.783532793039	80.1977441656788	963.778007311602	504	263	483	273	9732	99.825623140835	462.235294117647	421	60.2334307214074	163.69216535925	-1209	355	450	325	450	17	0.174376859165043
0.033333333	0.5	green	10	A	267.700572480065	508.334594152525	31.4747883566403	75.0323733922867	1158.63245335577	501	267	464	262	9782	267.173841738417	507.7491799918	29.7319360789838	73.7941984550393	1037.17543728692	501	267	464	262	9756	99.7342056839092	465.346153846154	728	43.8177519347511	165.65554623978	3324.64	788	462.5	794	487	26	0.265794316090779
