ahl,iptg,previous_state,time,data,ALL_meanGreen,ALL_meanRed,ALL_sdGreen,ALL_sdRed,ALL_cov,ALL_medianRed,ALL_medianGreen,ALL_modeRed,ALL_modeGreen,ALL_nEvent,gateRED_meanGreen,gateRED_meanRed,gateRED_sdGreen,gateRED_sdRed,gateRED_cov,gateRED_medianRed,gateRED_medianGreen,gateRED_modeRed,gateRED_modeGreen,gateRED_nEvent,gateRED_percentageEvent,gateGREEN_meanGreen,gateGREEN_meanRed,gateGREEN_sdGreen,gateGREEN_sdRed,gateGREEN_cov,gateGREEN_medianRed,gateGREEN_medianGreen,gateGREEN_modeRed,gateGREEN_modeGreen,gateGREEN_nEvent,gateGREEN_percentageEvent
10,10,green,10,B,255.256557,481.2606162,23.65759835,64.60461568,356.3391882,477,255,462,267,9608,255.2198626,481.2491151,23.52236777,64.60553341,354.4420478,477,255,462,267,9606,99.97918401,431.5,536.5,16.26345597,33.23401872,-540.5,536.5,431.5,513,443,2,0.020815987
0.1,10,green,10,B,257.4784709,492.6970507,26.14498323,64.22285591,595.482583,488,257,477,253,9731,257.3550278,492.5821509,25.55359927,63.8915436,567.6831705,488,257,477,253,9726,99.94861782,497.6,716.2,55.46891021,214.19197,1212.35,786,467,829,467,5,0.051382181
0.033333333,10,green,10,B,260.9380285,497.6185812,28.09149475,58.28395757,663.431759,494,260,478,267,9698,260.739808,497.4270823,27.29565444,57.80493295,625.4896443,494,260,478,267,9689,99.90719736,479,695.75,56.5129568,161.1598585,-2865.285714,721.5,477,655,437,8,0.082491235
0.011111111,10,green,10,B,263.7621109,462.1226551,27.76434355,52.95451838,483.1871032,462,262,462,273,9702,263.6663228,462.0806601,27.52720123,52.76823068,474.3900284,462,262,462,273,9695,99.92784993,396.4285714,520.2857143,39.18272214,176.4716354,5768.02381,550,401,559,401,7,0.072150072
0.003703704,10,green,10,B,266.2462578,413.9128898,36.89297989,48.09023015,412.1259345,413,262,381,262,9620,263.5520767,413.6949188,27.22402381,47.68994825,369.0040812,412,262,381,262,9486,98.60706861,456.9701493,429.3432836,91.74063967,69.43316194,483.5366401,422,434,417,366,134,1.392931393
0.001234568,10,green,10,B,437.2441777,346.6560993,90.29739204,39.77892071,-177.38852,347,436,350,435,9747,286.8001679,368.0083963,31.64307828,45.3876109,43.9722675,367,290,350,267,1191,12.21914435,458.2442703,343.6785547,74.53349612,38.00347642,302.0241491,345,448,350,435,8552,87.73981738
0.000411523,10,green,10,B,502.4094014,337.2528806,66.53147225,36.61700011,352.5135309,339,495,345,507,9807,266.2727273,337.5,31.2375472,62.48925489,-55.34883721,327.5,270.5,316,288,44,0.448659121,503.4736249,337.2517669,64.72734484,36.46432945,354.6104108,339,495,345,507,9763,99.55134088
0.000137174,10,green,10,B,507.9605034,337.0115625,66.64811336,36.27708904,347.3565762,339,500,345,470,9773,265.5757576,328.5757576,31.27502029,47.83698249,180.7206439,327,255,350,255,33,0.337664995,508.7817248,337.0401437,65.22317083,36.23155344,340.9879193,339,501,345,470,9740,99.662335
4.57E-05,10,green,10,B,510.3536823,336.9121172,65.76217584,36.58890349,340.7726346,340,503,345,481,9763,260.4642857,330.1428571,29.3175237,35.8512506,-38.6984127,332.5,257.5,318,238,28,0.286797091,511.0724191,336.9315871,64.45603011,36.59100192,336.9804018,340,504,345,481,9735,99.71320291
1.52E-05,10,green,10,B,511.5632113,337.0592638,66.99070412,36.72240241,376.3562822,339,505,345,492,9753,260.08,317,26.8326915,49.72088763,221.6666667,312,258,357,262,25,0.256331385,512.2094984,337.1108141,65.83728009,36.67239082,363.7779542,339,505,345,492,9728,99.74366861
