ahl,iptg,previous_state,time,data,ALL_meanGreen,ALL_meanRed,ALL_sdGreen,ALL_sdRed,ALL_cov,ALL_medianRed,ALL_medianGreen,ALL_modeRed,ALL_modeGreen,ALL_nEvent,gateRED_meanGreen,gateRED_meanRed,gateRED_sdGreen,gateRED_sdRed,gateRED_cov,gateRED_medianRed,gateRED_medianGreen,gateRED_modeRed,gateRED_modeGreen,gateRED_nEvent,gateRED_percentageEvent,gateGREEN_meanGreen,gateGREEN_meanRed,gateGREEN_sdGreen,gateGREEN_sdRed,gateGREEN_cov,gateGREEN_medianRed,gateGREEN_medianGreen,gateGREEN_modeRed,gateGREEN_modeGreen,gateGREEN_nEvent,gateGREEN_percentageEvent
10,10,green,10,C,255.0872644,480.8937832,23.76621203,67.1944903,376.0028129,477,255,462,267,9603,255.0872644,480.8937832,23.76621203,67.1944903,376.0028129,477,255,462,267,9603,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0.1,10,green,10,C,257.2018634,488.2635611,25.80149193,67.14930523,588.2421634,483,257,462,274,9660,257.1088668,488.2104827,25.4846051,66.82127663,570.069386,483,257,462,274,9654,99.9378882,406.8333333,573.6666667,72.73628164,285.4741086,20445.93333,592,424.5,866,472,6,0.062111801
0.033333333,10,green,10,C,261.3630285,492.0314782,28.7838008,63.20569039,767.6721104,488,260,481,253,9721,261.1641607,491.8650875,28.16462121,62.79438468,734.6150016,487.5,260,481,253,9710,99.88684292,436.9090909,638.9090909,34.78636096,175.9366105,4545.290909,685,438,685,431,11,0.113157083
0.011111111,10,green,10,C,262.6821912,462.8133976,28.42190351,56.48294187,591.9437679,462,262,464,262,9748,262.5777641,462.7236423,28.15183667,56.34358338,577.3623553,462,262,464,262,9741,99.9281904,409.8333333,584.3333333,35.7794168,114.6449592,3856.666667,593,417.5,744,422,6,0.061551087
0.003703704,10,green,10,C,266.1086912,410.0779741,39.87771172,50.08148073,347.9445704,408,262,395,273,9734,262.9713213,410.1132548,27.49919238,49.54405906,352.6138032,408,262,395,273,9589,98.510376,473.5862069,407.7448276,114.5958833,78.00603425,534.2756226,400,438,353,361,145,1.489623998
0.001234568,10,green,10,C,427.5011222,346.6468068,94.59763651,41.22707597,-471.0432726,347,431,345,439,9802,284.3405147,370.5864752,31.89730196,45.36025625,102.7810153,370,285,345,255,1671,17.04754132,456.9392374,341.7335793,74.15613421,38.52523514,259.3126323,343,448,345,439,8130,82.94225668
0.000411523,10,green,10,C,497.8769402,337.0697981,65.04421552,36.7020183,387.5896576,340,491,345,477,9857,270.775,335.025,37.1624897,58.43360795,996.7237179,337.5,267.5,321,253,40,0.405802983,498.8022818,337.0781298,63.49392513,36.5915848,383.3089497,340,491,345,477,9817,99.59419702
0.000137174,10,green,10,C,506.3584389,336.9477952,64.59423898,36.67924209,419.6668285,339,499,345,470,9865,258.75,340.3888889,24.78406746,47.88574365,189.1571429,343,259,334,262,36,0.364926508,507.2653373,336.9351918,62.92941049,36.63448154,423.6629039,339,499,345,470,9829,99.63507349
4.57E-05,10,green,10,C,506.7468303,336.2455624,63.46720437,36.13224186,323.5060787,339,500,345,470,9859,264.8529412,338.1176471,31.8691761,39.13207218,112.6238859,338.5,266,366,274,34,0.344862562,507.6016897,336.2374796,61.90875976,36.12490486,326.1333867,339,501,345,470,9824,99.64499442
1.52E-05,10,green,10,C,506.6838893,335.570179,64.02890833,36.26588032,324.507183,338,500,345,467,9832,262.78125,334.4375,30.97005252,42.64931078,418.3568548,338,259,340,268,32,0.32546786,507.4803061,335.5738776,62.57118016,36.2456954,323.3382752,338,501,345,467,9800,99.67453214
5.08E-06,10,green,10,C,510.170068,335.0285308,64.56348941,36.96083424,366.1428931,337,503,345,477,9849,252.7741935,327.5806452,21.64518373,37.84862322,-272.4311828,331,255,327,246,31,0.314752767,510.9827867,335.0520473,63.01034167,36.9575939,362.0588567,337,504,345,477,9818,99.68524723
