ahl,iptg,previous_state,time,data,ALL_meanGreen,ALL_meanRed,ALL_sdGreen,ALL_sdRed,ALL_cov,ALL_medianRed,ALL_medianGreen,ALL_modeRed,ALL_modeGreen,ALL_nEvent,gateRED_meanGreen,gateRED_meanRed,gateRED_sdGreen,gateRED_sdRed,gateRED_cov,gateRED_medianRed,gateRED_medianGreen,gateRED_modeRed,gateRED_modeGreen,gateRED_nEvent,gateRED_percentageEvent,gateGREEN_meanGreen,gateGREEN_meanRed,gateGREEN_sdGreen,gateGREEN_sdRed,gateGREEN_cov,gateGREEN_medianRed,gateGREEN_medianGreen,gateGREEN_modeRed,gateGREEN_modeGreen,gateGREEN_nEvent,gateGREEN_percentageEvent
10,10,red,10,A,250.8964187,420.8320661,22.71770642,57.07399818,121.1115431,419,251,421,257,9075,250.8555053,420.8449245,22.53945582,57.07350339,123.6448078,419,251,421,257,9073,99.97796143,436.5,362.5,72.83199846,14.8492424,-1081.5,362.5,436.5,373,385,2,0.022038567
0.1,10,red,10,A,259.1706003,454.1902258,23.51340453,59.43881551,184.9084028,453,260,435,271,7796,259.1377806,454.1979474,23.33565375,59.43871799,186.9080581,453,260,435,271,7795,99.98717291,515,394,NA,NA,NA,394,515,394,515,1,0.012827091
0.033333333,10,red,10,A,262.0450601,459.287715,25.02144836,60.93660748,234.3892869,458,263,449,271,6569,261.787925,459.4369569,24.00871552,60.81243152,258.5560852,459,263,449,271,6559,99.84776983,430.7,361.4,72.27732086,66.92649367,1022.466667,366,445,253,335,10,0.152230172
0.011111111,10,red,10,A,265.3966559,455.4421865,25.52794418,57.99795043,373.5810775,453,265,435,271,7775,265.2379972,455.3785558,24.8517876,57.73894256,365.0867727,453,265,435,271,7769,99.92282958,470.8333333,537.8333333,54.95968219,206.0489424,-6682.033333,509,454.5,361,549,6,0.077170418
0.003703704,10,red,10,A,265.9491715,410.6338607,26.56808898,52.10182257,323.4482451,408,265,391,270,8027,265.636829,410.4360799,25.53671235,51.61994068,287.7118937,408,265,391,270,8010,99.78821478,413.1176471,503.8235294,67.74204967,136.5889066,3629.272059,529,411,502,376,17,0.211785225
0.001234568,10,red,10,A,281.0121385,380.4217859,44.93353831,43.97371717,79.97672275,378,271,350,258,9474,271.9342841,381.6410724,27.28805749,43.46125038,143.142316,379,271,350,258,8765,92.51636057,393.4603399,365.2747875,64.57660676,47.4259212,1136.867651,361.5,372,347,347,706,7.451973823
0.000411523,10,red,10,A,446.1642121,345.0622765,67.06378339,36.89072128,131.3423237,345,441,345,458,9506,294.8024316,365.9361702,33.64829563,41.0630709,239.9416191,364,301,345,316,329,3.460972018,451.590607,344.313937,61.37955305,36.51389983,244.8182717,345,443,345,458,9177,96.53902798
0.000137174,10,red,10,A,481.2812287,340.2630262,63.54046501,34.90981161,293.6056206,342,474,345,458,8790,272.0344828,343.4310345,40.44965054,37.16634587,398.8445251,347.5,264,357,213,58,0.659840728,482.6710948,340.2419835,61.32486555,34.89563885,297.385062,342,474,345,458,8732,99.34015927
4.57E-05,10,red,10,A,485.6937772,339.709563,65.87925399,34.71932268,309.9294703,342,479,345,458,8742,264.9294118,346.4588235,32.43924293,40.54878101,198.8780112,347,263,357,263,85,0.972317547,487.8613839,339.6432944,62.36343644,34.65344085,325.8180399,342,479,345,458,8657,99.02768245
1.52E-05,10,red,10,A,485.9554243,338.1306009,63.8024574,34.83080371,301.3506579,340,479,345,473,8637,262.6290323,335.2580645,31.22327519,43.86489522,-75.82072977,342,263,354,271,62,0.717841843,487.5701458,338.1513703,61.07367968,34.7592901,299.3967752,340,479,345,473,8575,99.28215816
5.08E-06,10,red,10,A,487.8244124,338.99872,63.60297218,35.09753494,344.2952483,342,480,345,458,8594,253.8979592,333.4897959,36.37721637,41.20837417,39.53018707,333,242,299,224,49,0.570165232,489.165828,339.0303101,61.20028559,35.05975562,338.6147063,342,481,345,458,8545,99.42983477
0,10,red,10,A,487.9397821,339.1905183,62.00736744,35.17851789,273.9428541,341,480,345,476,6792,261.3181818,344.1363636,34.94299193,31.93932541,168.0021142,345.5,254,359,244,44,0.647820966,489.417457,339.1582691,59.37254924,35.19853065,282.0157338,341,480,345,476,6748,99.35217903
10,1,red,10,A,258.0959555,420.2050064,28.5824182,58.46006203,33.89849962,419,258,409,258,8629,256.9468903,420.5606802,22.92240534,58.29004745,117.6965254,419,258,409,258,8586,99.50168038,487.5348837,349.1860465,79.11093743,48.64754475,-327.982835,347,467,330,434,43,0.49831962
0.1,1,red,10,A,259.5752289,449.8852989,23.95393734,61.52314575,186.7406957,449,260,450,258,9285,259.4283251,449.9588273,23.35261899,61.4805617,201.2788208,449,260,450,258,9278,99.92460959,454.2857143,352.4285714,19.69529796,37.75737077,-105.3095238,365,458,392,458,7,0.075390415
0.033333333,1,red,10,A,261.2979767,450.9763948,24.41728909,62.69645912,294.9244042,449,263,460,250,6524,261.1958589,450.9733129,24.06693155,62.58686782,294.9122687,449,263,460,250,6520,99.93868792,428.6666667,368,33.30665599,78.10249676,-560,328,418,458,418,3,0.045984059
0.011111111,1,red,10,A,264.2981409,446.4436539,25.10723342,58.424401,327.2076652,445,265,445,263,8714,264.1493738,446.5305067,24.70408601,58.3429928,336.7858356,445,265,449,263,8703,99.87376635,382,377.7272727,53.94256205,82.6197203,933.1,373,370,324,335,11,0.126233647
0.003703704,1,red,10,A,265.3135048,403.2273312,26.14713023,51.64958661,324.6725326,401,265,392,258,9330,265.0434783,403.0885668,25.11371473,51.34261371,298.5721635,401,265,392,258,9315,99.8392283,433,489.4,76.15397935,126.1856908,2205,440,411,423,356,15,0.160771704
0.001234568,1,red,10,A,286.0319899,375.6569504,51.45035624,44.02483424,9.631581464,374,275,345,271,9503,272.5845753,377.6603974,27.8811233,43.27635083,135.2808844,376,271,345,271,8454,88.96138062,394.4985673,359.425979,67.23158336,46.59475033,970.1851233,357,372,357,356,1047,11.0175734
0.000411523,1,red,10,A,453.9761705,343.1081251,66.86723917,36.6314648,207.4023669,345,448,345,439,9526,287.5304348,361.8869565,36.59928692,45.22390009,432.3397,359,296,345,263,230,2.414444678,458.1200775,342.6367549,62.00102053,36.27408558,282.0068204,345,450,345,439,9294,97.56456015
0.000137174,1,red,10,A,482.4300303,338.4614521,64.61718066,35.6011269,226.8200578,340,476,345,463,8911,262.7162162,342.7837838,34.52555943,43.6907784,311.0336912,339.5,258,322,213,74,0.830434295,484.2871209,338.4241738,61.5681039,35.5282844,234.3615021,340,476,345,463,8836,99.15834362
4.57E-05,1,red,10,A,487.8102521,338.0237317,63.03133944,34.8477697,204.7440605,340,481,345,458,9481,263.4576271,346.1694915,35.74494034,28.96796836,396.9383402,348,260,352,216,59,0.622297226,489.2151348,337.9727234,60.60336764,34.87675237,215.0992771,340,481,345,458,9422,99.37770277
1.52E-05,1,red,10,A,486.2987421,337.8168239,64.59676951,34.59010673,222.2877865,340,479,345,463,6360,258.0196078,332.4313725,32.85269559,34.5700766,277.4913725,337,257,378,265,51,0.801886792,488.1440799,337.8603582,61.42637409,34.58959027,211.8655571,340,480,345,463,6309,99.19811321
