ahl,iptg,previous_state,time,data,ALL_meanGreen,ALL_meanRed,ALL_sdGreen,ALL_sdRed,ALL_cov,ALL_medianRed,ALL_medianGreen,ALL_modeRed,ALL_modeGreen,ALL_nEvent,gateRED_meanGreen,gateRED_meanRed,gateRED_sdGreen,gateRED_sdRed,gateRED_cov,gateRED_medianRed,gateRED_medianGreen,gateRED_modeRed,gateRED_modeGreen,gateRED_nEvent,gateRED_percentageEvent,gateGREEN_meanGreen,gateGREEN_meanRed,gateGREEN_sdGreen,gateGREEN_sdRed,gateGREEN_cov,gateGREEN_medianRed,gateGREEN_medianGreen,gateGREEN_modeRed,gateGREEN_modeGreen,gateGREEN_nEvent,gateGREEN_percentageEvent
10,10,red,10,B,260.7010032,448.2838268,25.45276596,56.99910758,139.6514955,448,262,443,251,8174,260.217386,448.3333742,22.94926982,57.00832875,149.1477532,448,262,443,251,8156,99.77978958,479.8333333,425.8333333,88.64619032,48.99849938,812.9705882,437,471,421,473,18,0.220210423
0.1,10,red,10,B,262.025061,461.2202262,25.846675,56.19059344,213.2313662,461,263,450,257,9018,261.57,461.2662222,23.65883354,56.16914644,220.9421358,461,263,450,257,9000,99.8003992,489.5555556,438.2222222,55.82664578,63.69925252,1695.69281,451,480,480,490,18,0.199600798
0.033333333,10,red,10,B,263.5305306,463.063655,26.18548652,55.17122809,320.3871074,462,263,464,258,9253,263.2135281,463.0203463,24.61013625,54.95063679,314.2581293,462,263,464,258,9240,99.85950503,488.8461538,493.8461538,85.30616054,144.8181884,-2458.442308,447,450,509,698,13,0.140494975
0.011111111,10,red,10,B,266.345627,445.1864067,27.05981077,52.81708788,326.4859928,445,265,464,271,9490,265.9457061,445.2527728,25.59395036,52.73915387,339.7074715,445,265,464,271,9467,99.75763962,430.9565217,417.8695652,74.68630047,75.326142,-635.0513834,410,416,330,396,23,0.242360379
0.003703704,10,red,10,B,266.8609785,397.9135095,29.97368102,47.77489861,255.256389,397,265,381,258,9423,265.6034427,397.8678499,25.35761791,47.62604799,240.0093943,397,265,381,258,9353,99.25713679,434.8857143,404.0142857,81.69021421,64.82406354,1277.75528,391,420,391,421,70,0.742863207
0.001234568,10,red,10,B,342.0828977,363.4717806,80.84125845,41.86457623,-434.9999545,362,332,345,250,9373,280.1708333,373.1641667,31.84985063,42.6350413,33.63958811,372,281,345,250,4800,51.210925,407.2140666,353.2999562,63.87879208,38.49613931,363.9877148,353,392,345,356,4564,48.69305452
0.000411523,10,red,10,B,464.7968536,341.1138211,68.3379137,36.28629167,181.4756063,343,458,345,458,9471,286.0054054,363.5675676,31.06646054,43.11028611,34.31756757,363,287,355,316,185,1.953331222,468.3735057,340.6656974,63.97519335,35.99983592,266.1294013,343,459,345,458,9285,98.03611023
0.000137174,10,red,10,B,482.6579937,338.3658307,65.04155574,35.7189483,335.4854597,341,474,345,458,9570,273.5961538,335.1538462,32.73078518,40.40063318,225.8476621,335.5,266,285,263,52,0.543364681,483.8001681,338.3833789,63.30610318,35.69328975,332.4191643,341,475,345,458,9518,99.45663532
4.57E-05,10,red,10,B,486.9645144,338.0871391,66.06976446,35.44618946,298.5467716,340,478,345,458,9525,273.1636364,342.7636364,31.51235127,46.81443416,244.4468013,341,265,347,316,55,0.577427822,488.2062302,338.0599789,64.17052099,35.37095175,304.7280453,340,479,345,458,9470,99.42257218
1.52E-05,10,red,10,B,487.4062633,339.5373673,64.71225376,34.50972473,247.4436241,342,479,345,458,9420,269.1458333,344.5625,34.85531773,38.03520556,31.38430851,342,260.5,359,257,48,0.50955414,488.5241144,339.5116304,62.91084286,34.49109222,254.2003918,342,480,345,458,9372,99.49044586
