ahl	iptg	previous_state	time	data	ALL_meanGreen	ALL_meanRed	ALL_sdGreen	ALL_sdRed	ALL_cov	ALL_medianRed	ALL_medianGreen	ALL_modeRed	ALL_modeGreen	ALL_nEvent	gateRED_meanGreen	gateRED_meanRed	gateRED_sdGreen	gateRED_sdRed	gateRED_cov	gateRED_medianRed	gateRED_medianGreen	gateRED_modeRed	gateRED_modeGreen	gateRED_nEvent	gateRED_percentageEvent	gateGREEN_meanGreen	gateGREEN_meanRed	gateGREEN_sdGreen	gateGREEN_sdRed	gateGREEN_cov	gateGREEN_medianRed	gateGREEN_medianGreen	gateGREEN_modeRed	gateGREEN_modeGreen	gateGREEN_nEvent	gateGREEN_percentageEvent
10	10	red	10	A	250.896418732782	420.832066115703	22.7177064177009	57.0739981806314	121.111543106542	419	251	421	257	9075	250.855505345531	420.844924501267	22.5394558214886	57.0735033910383	123.644807762474	419	251	421	257	9073	99.9779614325069	436.5	362.5	72.8319984622144	14.8492424049175	-1081.5	362.5	436.5	373	385	2	0.0220385674931129
0.1	10	red	10	A	259.17060030785	454.190225756798	23.5134045309286	59.4388155133893	184.908402789411	453	260	435	271	7796	259.137780628608	454.197947402181	23.3356537491461	59.4387179934938	186.908058056204	453	260	435	271	7795	99.9871729091842	515	394	NA	NA	NA	394	515	394	515	1	0.012827090815803
0.033333333	10	red	10	A	262.045060130918	459.287715025118	25.021448357828	60.9366074763365	234.38928689899	458	263	449	271	6569	261.787924988565	459.436956853179	24.0087155176622	60.812431517161	258.556085236775	459	263	449	271	6559	99.8477698279799	430.7	361.4	72.2773208628482	66.9264936744452	1022.46666666667	366	445	253	335	10	0.152230172020094
0.011111111	10	red	10	A	265.396655948553	455.442186495177	25.527944184268	57.997950429563	373.581077546807	453	265	435	271	7775	265.237997168233	455.378555798687	24.8517876010262	57.7389425566823	365.086772699308	453	265	435	271	7769	99.9228295819936	470.833333333333	537.833333333333	54.9596821921913	206.048942406086	-6682.03333333333	509	454.5	361	549	6	0.0771704180064309
0.003703704	10	red	10	A	265.949171546032	410.63386072007	26.5680889763513	52.1018225675335	323.448245100148	408	265	391	270	8027	265.636828963795	410.436079900125	25.5367123528938	51.619940682386	287.7118936733	408	265	391	270	8010	99.7882147751339	413.117647058824	503.823529411765	67.7420496746123	136.588906620431	3629.27205882353	529	411	502	376	17	0.211785224866077
0.001234568	10	red	10	A	281.012138484273	380.421785940469	44.9335383139898	43.9737171669166	79.9767227506435	378	271	350	258	9474	271.934284084427	381.641072447233	27.2880574914364	43.4612503796659	143.142316034871	379	271	350	258	8765	92.5163605657589	393.460339943343	365.274787535411	64.5766067640664	47.4259212006245	1136.86765113616	361.5	372	347	347	706	7.45197382309479
0.000411523	10	red	10	A	446.164212076583	345.062276456975	67.0637833940926	36.8907212777863	131.342323666561	345	441	345	458	9506	294.802431610942	365.936170212766	33.6482956321311	41.0630708957035	239.941619097042	364	301	345	316	329	3.46097201767305	451.590606952163	344.313937016454	61.3795530491288	36.5138998319074	244.818271727421	345	443	345	458	9177	96.539027982327
0.000137174	10	red	10	A	481.281228668942	340.263026166098	63.5404650063426	34.9098116058201	293.605620584527	342	474	345	458	8790	272.034482758621	343.431034482759	40.4496505383562	37.1663458733535	398.844525105868	347.5	264	357	213	58	0.659840728100114	482.671094823637	340.241983508933	61.3248655491077	34.8956388522821	297.385062036153	342	474	345	458	8732	99.3401592718999
4.57247e-05	10	red	10	A	485.693777167696	339.709563029055	65.8792539869556	34.7193226774542	309.929470338495	342	479	345	458	8742	264.929411764706	346.458823529412	32.4392429287848	40.5487810107355	198.878011204482	347	263	357	263	85	0.972317547471974	487.861383851219	339.643294443803	62.3634364414381	34.6534408495441	325.818039895167	342	479	345	458	8657	99.027682452528
1.52416e-05	10	red	10	A	485.955424337154	338.130600903091	63.8024574049383	34.8308037055438	301.350657867959	340	479	345	473	8637	262.629032258065	335.258064516129	31.2232751933909	43.8648952154005	-75.8207297726071	342	263	354	271	62	0.717841843232604	487.570145772595	338.151370262391	61.0736796832214	34.7592901014308	299.396775225936	340	479	345	473	8575	99.2821581567674
5.08053e-06	10	red	10	A	487.824412380731	338.998720037235	63.6029721815156	35.0975349373434	344.295248287698	342	480	345	458	8594	253.897959183673	333.489795918367	36.3772163688798	41.208374173714	39.5301870748299	333	242	299	224	49	0.5701652315569	489.165827969573	339.030310122879	61.2002855853726	35.059755620194	338.614706291653	342	481	345	458	8545	99.4298347684431
0	10	red	10	A	487.939782096584	339.190518256773	62.0073674387208	35.178517890193	273.942854066709	341	480	345	476	6792	261.318181818182	344.136363636364	34.9429919295619	31.9393254061443	168.002114164905	345.5	254	359	244	44	0.647820965842167	489.417457024303	339.158269116775	59.3725492404903	35.1985306474943	282.015733792507	341	480	345	476	6748	99.3521790341578
10	1	red	10	A	258.095955498899	420.205006373856	28.5824181996535	58.4600620338767	33.8984996201261	419	258	409	258	8629	256.946890286513	420.560680177032	22.9224053386188	58.2900474472859	117.696525353608	419	258	409	258	8586	99.5016803801136	487.53488372093	349.186046511628	79.1109374285218	48.6475447498459	-327.982834994463	347	467	330	434	43	0.498319619886429
0.1	1	red	10	A	259.575228863759	449.885298869144	23.9539373387402	61.5231457473991	186.740695685039	449	260	450	258	9285	259.428325070058	449.958827333477	23.3526189889612	61.4805616975185	201.278820758517	449	260	450	258	9278	99.9246095853527	454.285714285714	352.428571428571	19.6952979643559	37.7573707720631	-105.309523809524	365	458	392	458	7	0.0753904146472806
0.033333333	1	red	10	A	261.29797670141	450.976394849785	24.4172890864299	62.6964591162304	294.924404171703	449	263	460	250	6524	261.195858895705	450.973312883436	24.0669315467789	62.58686781893	294.912268668178	449	263	460	250	6520	99.9386879215205	428.666666666667	368	33.3066559914581	78.1024967590665	-560	328	418	458	418	3	0.0459840588595953
0.011111111	1	red	10	A	264.298140922653	446.443653890292	25.1072334191257	58.4244009957026	327.207665235054	445	265	445	263	8714	264.149373779157	446.53050672182	24.7040860093661	58.3429928037012	336.785835585111	445	265	449	263	8703	99.8737663529952	382	377.727272727273	53.9425620451977	82.6197202961749	933.1	373	370	324	335	11	0.12623364700482
0.003703704	1	red	10	A	265.313504823151	403.227331189711	26.1471302280999	51.6495866146529	324.672532561914	401	265	392	258	9330	265.04347826087	403.088566827697	25.1137147339299	51.3426137086097	298.572163456601	401	265	392	258	9315	99.8392282958199	433	489.4	76.1539793538629	126.185690834692	2205	440	411	423	356	15	0.160771704180064
0.001234568	1	red	10	A	286.031989897927	375.656950436704	51.4503562432104	44.0248342432259	9.63158146361207	374	275	345	271	9503	272.584575348947	377.660397444996	27.8811232986131	43.2763508308592	135.280884399246	376	271	345	271	8454	88.9613806166474	394.498567335244	359.425978987584	67.2315833593467	46.5947503317852	970.185123296827	357	372	357	356	1047	11.0175733978744
0.000411523	1	red	10	A	453.976170480789	343.10812513122	66.8672391651114	36.6314647979084	207.402366866644	345	448	345	439	9526	287.530434782609	361.886956521739	36.5992869234305	45.223900087989	432.339700018986	359	296	345	263	230	2.41444467772412	458.120077469335	342.636754895632	62.0010205252183	36.2740855831657	282.006820352574	345	450	345	439	9294	97.5645601511652
0.000137174	1	red	10	A	482.43003029963	338.461452137807	64.6171806592604	35.6011269018122	226.820057846007	340	476	345	463	8911	262.716216216216	342.783783783784	34.52555943037	43.6907783976631	311.033691225472	339.5	258	322	213	74	0.830434294691954	484.287120869172	338.424173834314	61.5681038979115	35.5282843976913	234.361502091946	340	476	345	463	8836	99.1583436202446
4.57247e-05	1	red	10	A	487.810252083114	338.023731673874	63.0313394385982	34.8477696959504	204.744060472711	340	481	345	458	9481	263.457627118644	346.169491525424	35.7449403383136	28.9679683636306	396.938340151958	348	260	352	216	59	0.622297226031009	489.215134790915	337.972723413288	60.6033676388779	34.8767523695248	215.099277108722	340	481	345	458	9422	99.377702773969
1.52416e-05	1	red	10	A	486.298742138365	337.816823899371	64.5967695082883	34.590106729264	222.287786537379	340	479	345	463	6360	258.019607843137	332.43137254902	32.8526955947779	34.5700765992561	277.49137254902	337	257	378	265	51	0.80188679245283	488.144079885877	337.860358218418	61.4263740934736	34.5895902717353	211.865557130542	340	480	345	463	6309	99.1981132075472
5.08053e-06	1	red	10	A	486.059039768297	338.436114514871	63.7954957270358	34.890789016062	247.609498585909	340	479	345	458	8977	252.764705882353	336.196078431373	32.9020292597853	30.4177708636535	288.227058823529	342	242	345	235	51	0.56811852511975	487.392000896258	338.448913287027	61.4351110742208	34.9157741345192	244.406414835708	340	479	345	458	8926	99.4318814748802
0	1	red	10	A	489.866839846397	338.497967020556	63.7232097795496	34.949521397382	284.852378077176	340	482	345	473	8854	264.95652173913	339.260869565217	36.5634647773121	36.5746936085647	169.389371980676	340.5	258	345	213	46	0.519539191325954	491.041439600363	338.493982742961	61.7206314225488	34.9429642512278	286.375575825913	340	482	345	473	8808	99.480460808674
10	0.5	red	10	A	258.417693981146	415.083877205705	28.2014314544735	56.1495578801947	27.7965816967345	414	258	381	263	8274	257.298991617057	415.467379419269	22.9484635286745	55.9751170539826	106.035817648746	414	258	381	263	8231	99.4802997341068	472.558139534884	341.674418604651	79.1912399934131	38.9154889779382	875.59080841639	334	473	367	457	43	0.519700265893159
0.1	0.5	red	10	A	259.796484634092	431.385805881052	24.0366550934832	61.4366455732218	176.890245287675	430	260	419	257	9046	259.646674781454	431.47493637269	23.3854730311531	61.3907700390006	188.286683470341	430	260	419	257	9037	99.9005085120495	410.222222222222	341.888888888889	100.238188553288	39.8856002977404	2487.27777777778	345	336	324	327	9	0.0994914879504754
0.033333333	0.5	red	10	A	261.083107007061	439.291254752852	23.6935596736007	61.8444974693179	228.664948947639	437	263	410	270	9205	261.064971751412	439.261190786615	23.6308703146071	61.7805527190237	223.670521341911	437	263	410	270	9204	99.9891363389462	428	716	NA	NA	NA	716	428	716	428	1	0.0108636610537751
0.011111111	0.5	red	10	A	262.723634755693	433.287751492372	25.1301115840011	57.3419620014556	310.894237560081	432	263	435	265	9046	262.618099347273	433.219161411661	24.836940413204	57.1537767603241	299.53944956772	432	263	435	265	9039	99.9226177315941	414.2	545	18.1851587840195	181.517216814274	2170.5	603	417	317	416	5	0.0552730488613752
0.003703704	0.5	red	10	A	264.452663359931	394.549708863489	25.4747560595175	48.9665192004826	226.569645442799	392	265	392	257	9274	264.25893532016	394.530504265198	24.841017326263	48.8833325162988	221.528385612533	392	265	392	257	9261	99.8598231615268	415.636363636364	420.636363636364	65.8259412804294	96.3413439051716	1328.95454545455	386	412	397	402	11	0.118611171015743
