ahl,iptg,previous_state,time,data,ALL_meanGreen,ALL_meanRed,ALL_sdGreen,ALL_sdRed,ALL_cov,ALL_medianRed,ALL_medianGreen,ALL_modeRed,ALL_modeGreen,ALL_nEvent,gateRED_meanGreen,gateRED_meanRed,gateRED_sdGreen,gateRED_sdRed,gateRED_cov,gateRED_medianRed,gateRED_medianGreen,gateRED_modeRed,gateRED_modeGreen,gateRED_nEvent,gateRED_percentageEvent,gateGREEN_meanGreen,gateGREEN_meanRed,gateGREEN_sdGreen,gateGREEN_sdRed,gateGREEN_cov,gateGREEN_medianRed,gateGREEN_medianGreen,gateGREEN_modeRed,gateGREEN_modeGreen,gateGREEN_nEvent,gateGREEN_percentageEvent
10,10,red,10,C,271.5798419,383.86917,32.04557828,67.095282,24.85801806,375,273,350,255,2530,269.3858805,384.8347373,24.66093328,66.83989973,138.5722242,376,273,350,255,2493,98.53754941,419.4054054,318.8108108,85.14708172,50.79197106,2185.134384,317,417,346,456,37,1.462450593
0.1,10,red,10,C,271.2110566,434.2912634,28.39177369,55.05679801,59.50587492,437,273,445,283,7543,270.4148128,434.6729719,25.57854492,54.75626802,126.2788923,437,273,445,283,7507,99.52273631,437.25,354.6944444,69.98382466,60.39433249,-599.7785714,344,458.5,310,334,36,0.477263688
0.033333333,10,red,10,C,275.3433817,438.6004218,24.89707727,51.76642996,110.8710958,441,278,445,285,8061,275.2514598,438.7286619,24.79029605,51.6208933,116.8961466,441,278,445,285,8049,99.85113509,337.0909091,351.5454545,21.09717775,80.11911587,1659.045455,334,330,334,325,11,0.136459496
0.011111111,10,red,10,C,278.0425053,422.9441156,24.81323426,49.13851523,125.0371892,423,280,401,288,8446,277.9612284,423.0780175,24.73499608,49.03466886,132.5977128,423,280,401,288,8434,99.85792091,335.1666667,328.8333333,8.871131252,27.8235784,213.3030303,327.5,333,350,331,12,0.142079091
0.003703704,10,red,10,C,279.0535714,382.339663,28.1735891,42.06332191,83.78773784,382,281,384,290,7952,277.9823514,382.5498984,24.95254301,41.89017143,89.38240456,382,280.5,384,290,7876,99.04426559,391.2297297,359.2702703,79.23081373,52.95340348,2072.553499,359,353,337,330,74,0.930583501
0.001234568,10,red,10,C,375.013561,351.0923841,72.95115635,38.11907659,-375.4407056,353,377,345,288,8259,291.8243941,364.8478347,26.99053581,37.49425351,67.3647627,365,293,350,288,2517,30.47584453,411.5764603,345.0591107,54.47525017,36.80268886,152.0360272,347,404,345,350,5735,69.43939944
0.000411523,10,red,10,C,462.7029029,342.7342014,59.8128684,36.28044817,136.8842245,345,461,345,462,8371,269.9639175,343.814433,30.13722909,33.24966941,57.87409861,346.5,268,357,268,194,2.317524788,467.2756512,342.7085728,52.33221568,36.35076341,143.8234928,345,462,345,462,8177,97.68247521
0.000137174,10,red,10,C,472.8286572,341.6555825,58.27499486,35.87760114,76.70910906,345,470,350,462,8661,261.5612903,340.0322581,24.94775941,38.32675973,-14.47926267,342,260,328,255,155,1.789631682,476.6784623,341.6851634,51.16970829,35.83314075,72.00516425,345,471,350,462,8506,98.21036832
4.57E-05,10,red,10,C,477.5658376,341.4289756,58.4355218,35.94812074,118.5425509,345,476,345,477,8483,263.245614,334.7426901,27.1329715,40.19779613,41.9753354,341,267,353,267,171,2.015796298,481.9749759,341.5665303,50.05382591,35.84501393,90.03210664,345,477,345,477,8312,97.9842037
1.52E-05,10,red,10,C,471.4939429,342.5085714,55.34971082,35.28240955,121.4670196,345,469,345,477,8750,262.537931,336.1931034,28.39356849,33.81430018,-39.56987548,340,262,340,238,145,1.657142857,475.0149913,342.6149913,48.512867,35.29882967,101.5619091,345,470,345,477,8605,98.34285714
5.08E-06,10,red,10,C,472.9455253,341.4250678,57.84085481,35.82210144,108.334361,345,471,345,466,8481,268.5621302,342.1893491,28.37667528,34.37104443,67.39292759,345,273,340,218,169,1.992689541,477.1010587,341.4095284,50.30529716,35.85281206,112.4159543,345,472,345,466,8312,98.00731046
0,10,red,10,C,476.8014731,341.7809632,56.75274044,35.24545392,146.6411205,345,474,345,466,8825,265.4347826,331.1594203,28.82186835,36.15543217,-26.89463662,340,267,345,221,138,1.563739377,480.1592034,341.9496949,50.37731319,35.20709269,113.1600935,345,475,345,466,8687,98.43626062
10,1,red,10,C,276.8437122,421.2464022,38.96324985,57.14512273,-136.3149961,422,277,427,294,7435,272.7648916,422.4836673,24.94594364,56.54009523,84.77550063,423,275,427,294,7286,97.99596503,476.295302,360.7449664,68.95861502,53.97035652,1377.116361,354,473,324,479,149,2.00403497
0.1,1,red,10,C,274.3944641,438.0976443,24.81556408,54.51317013,107.2562127,439,278,449,290,8490,274.2741422,438.2105884,24.45703689,54.41786251,119.7810592,439,278,449,290,8481,99.89399293,387.7777778,331.6666667,70.2865168,39.88734135,434.6666667,340,356,340,356,9,0.106007067
0.033333333,1,red,10,C,275.0130396,436.7235836,25.01368819,51.90694455,95.00439171,438,278,425,285,8896,274.9343082,436.7791901,24.76836471,51.87211525,101.1170038,438,278,425,285,8890,99.93255396,391.6666667,354.3333333,78.24235852,38.83125889,788.1333333,356.5,351,363,347,6,0.067446043
0.011111111,1,red,10,C,276.6650062,414.1857806,24.58625417,48.68043175,125.9417714,414,280,410,288,8833,276.5625213,414.2515588,24.41137139,48.62294979,129.1387489,414,280,410,288,8821,99.86414582,352,365.8333333,36.47415025,67.200965,1553.181818,347.5,340.5,345,336,12,0.135854183
0.003703704,1,red,10,C,280.7706281,379.0240753,31.80469298,42.12041337,78.30200961,379,281,384,278,9138,278.323704,379.4859478,25.13366545,41.68377325,74.1679871,379,280,384,278,8931,97.73473408,386.6407767,359.2864078,77.67843087,54.47631403,2420.942411,357,357,350,340,206,2.254322609
0.001234568,1,red,10,C,405.8552646,346.5303185,68.1949512,37.28156914,-213.9257292,348,409,345,409,8823,292.2469237,364.026251,29.42604596,36.92146683,122.2439232,364,294,345,280,1219,13.8161623,424.1138158,343.7132895,53.42110065,36.57178909,103.0042117,346,419,345,409,7600,86.13850164
